disposition,rule_name,entity,description_operator,description_value,contra_account_code,contra_account_name,hits,purity_pct,qb_label,is_new_vs_qb_rules,note
covered-by-counterparty,mined: to aman yadav general nan auto categorized opera,DL SG,contains,to aman yadav general nan auto categorized opera,,,5,100.0,Other Operating Expenses:Human Resource - Salary Expense,yes,pattern names party 'aman' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx docusign inc wil debit purchase auto categori,DL SG,contains,xx docusign inc wil debit purchase auto categori,,,5,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'docusign' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx tldx solutions gmbh aac debit purchase auto c,DL SG,contains,xx tldx solutions gmbh aac debit purchase auto c,,,5,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'debit purchase' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx zapier com charge san debit purchase auto cat,DL SG,contains,xx zapier com charge san debit purchase auto cat,,,5,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'zapier' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx voucherify kat debit purchase auto categorize,DL SG,contains,xx voucherify kat debit purchase auto categorize,,,5,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'voucherify' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx zoom com san debit purchase auto categorized,DL SG,contains,xx zoom com san debit purchase auto categorized,,,5,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'zoom' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx timetastic wil debit purchase auto categorize,DL SG,contains,xx timetastic wil debit purchase auto categorize,,,5,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'timetastic' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx surveymonk t dub debit purchase auto categori,DL SG,contains,xx surveymonk t dub debit purchase auto categori,,,5,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'surveymonkey' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx google one sin debit purchase auto categorize,DL SG,contains,xx google one sin debit purchase auto categorize,,,5,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'google' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx canva i cam debit purchase auto categorized o,DL SG,contains,xx canva i cam debit purchase auto categorized o,,,5,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'canva' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx calendly avo debit purchase auto categorized,DL SG,contains,xx calendly avo debit purchase auto categorized,,,5,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'calendly' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx onelink to jar debit purchase auto categorize,DL SG,contains,xx onelink to jar debit purchase auto categorize,,,5,100.0,"AI, Internet & Website Maintenance fees",yes,pattern names party 'onelink.to' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx retool san debit purchase auto categorized op,DL SG,contains,xx retool san debit purchase auto categorized op,,,5,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'debit purchase' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: to inv towlah sg recovery general nan auto categ,DL SG,contains,to inv towlah sg recovery general nan auto categ,,,5,100.0,Cost of Overhead Related to Service:Operating Expenses:Towing,yes,pattern names party 'towlah' — its arbitrated default governs; a rule would override it
rule,mined: to terrence dimagan genetiano general nan auto c,DL SG,contains,to terrence dimagan genetiano general nan auto c,5063,Customer Support - Salary,5,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,
dropped:label-is-SPLIT,mined: to vignesh general nan auto categorized cost of,DL SG,contains,to vignesh general nan auto categorized cost of,,,5,100.0,Cost of Overhead Related to Service:Operating Expenses,yes,per-line resolution via counterparty defaults
rule,mined: sent money to emmanuel jacobo,DL SG,contains,sent money to emmanuel jacobo,5063,Customer Support - Salary,5,100.0,Cost of Overhead Related to Service:Salary Expense Ops - Customer Service,yes,
covered-by-counterparty,mined: xx adobe sag debit purchase,DL SG,contains,xx adobe sag debit purchase,,,5,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'adobe' — its arbitrated default governs; a rule would override it
covered-by-counterparty,mined: xx coderabbit coderabbit wal debit purchase,DL SG,contains,xx coderabbit coderabbit wal debit purchase,,,5,100.0,Other Operating Expenses:Corporate - Subscription/Software Expenses,yes,pattern names party 'debit purchase' — its arbitrated default governs; a rule would override it
dropped:label-is-SPLIT,mined: xx zoom us debit purchase,DL SG,contains,xx zoom us debit purchase,,,5,100.0,Other Operating Expenses:Technology System Cost,yes,per-line resolution via counterparty defaults
